data,explainer,scale,k,recall,precision,ndcg
CIFAR10,HDEXPLAIN,False,50,0.07,0.14,0.077751508213372
CIFAR10,HDEXPLAIN,False,60,0.1,0.1666666666666666,0.1023888124147835
CIFAR10,HDEXPLAIN,False,70,0.14,0.2,0.1340852583517199
CIFAR10,HDEXPLAIN,False,80,0.16,0.2,0.1493509309067021
CIFAR10,HDEXPLAIN,False,90,0.17,0.1888888888888888,0.1567259292400866
CIFAR10,HDEXPLAIN,False,100,0.19,0.19,0.1711514693504459
CIFAR10,HDEXPLAIN,True,10,0.1,1.0,0.2169936843350081
CIFAR10,HDEXPLAIN,True,20,0.2,1.0,0.3362328212805096
CIFAR10,HDEXPLAIN,True,30,0.3,1.0,0.4375435812926453
CIFAR10,HDEXPLAIN,True,40,0.4,1.0,0.5296913427430939
CIFAR10,HDEXPLAIN,True,50,0.5,1.0,0.6159766672539753
CIFAR10,HDEXPLAIN,True,60,0.6,1.0,0.698072917482775
CIFAR10,HDEXPLAIN,True,70,0.7,1.0,0.7769697074735189
CIFAR10,HDEXPLAIN,True,80,0.8,1.0,0.8533112834821622
CIFAR10,HDEXPLAIN,True,90,0.9,1.0,0.927545698496354
CIFAR10,HDEXPLAIN,True,100,0.98,0.98,0.9856070762105708
CIFAR10,RPS,False,10,0.03,0.3,0.0432481939376534
CIFAR10,RPS,False,20,0.12,0.6,0.1502631536014818
CIFAR10,RPS,False,30,0.22,0.7333333333333333,0.2515739136136176
CIFAR10,RPS,False,40,0.32,0.8,0.3437216750640661
CIFAR10,RPS,False,50,0.42,0.84,0.4300069995749475
CIFAR10,RPS,False,60,0.51,0.85,0.503765402998844
CIFAR10,RPS,False,70,0.61,0.8714285714285714,0.582662192989588
CIFAR10,RPS,False,80,0.71,0.8875,0.659003768998231
CIFAR10,RPS,False,90,0.81,0.9,0.7332381840124228
CIFAR10,RPS,False,100,0.9,0.9,0.7983715581480876
CIFAR10,IF,True,10,0.0,0.0,0.0
CIFAR10,IF,True,20,0.02,0.1,0.0219234766434274
CIFAR10,IF,True,30,0.09,0.3,0.0922340072397179
CIFAR10,IF,True,40,0.19,0.475,0.1843817686901665
CIFAR10,IF,True,50,0.29,0.58,0.270667093201048
CIFAR10,IF,True,60,0.39,0.65,0.3527633434298475
CIFAR10,IF,True,70,0.49,0.7,0.4316601334205917
CIFAR10,IF,True,80,0.59,0.7375,0.5080017094292347
CIFAR10,IF,True,90,0.69,0.7666666666666667,0.5822361244434264
CIFAR10,IF,True,100,0.79,0.79,0.6546904259470725
CIFAR10,HDEXPLAIN,False,10,0.01,0.1,0.0159195077536066
CIFAR10,HDEXPLAIN,False,20,0.04,0.2,0.0533903681609309
CIFAR10,HDEXPLAIN,False,30,0.07,0.2333333333333333,0.0839016144120062
CIFAR10,HDEXPLAIN,False,40,0.1,0.25,0.1114680166507796
CIFAR10,HDEXPLAIN,False,50,0.14,0.28,0.146038486251121
CIFAR10,HDEXPLAIN,False,60,0.15,0.25,0.1541237084992402
CIFAR10,HDEXPLAIN,False,70,0.18,0.2571428571428571,0.1779761765995674
CIFAR10,HDEXPLAIN,False,80,0.2,0.25,0.19338308762732
CIFAR10,HDEXPLAIN,False,90,0.23,0.2555555555555555,0.2155882374547387
CIFAR10,HDEXPLAIN,False,100,0.24,0.24,0.2227766114798001
CIFAR10,HDEXPLAIN,True,10,0.1,1.0,0.2169936843350081
CIFAR10,HDEXPLAIN,True,20,0.2,1.0,0.3362328212805096
CIFAR10,HDEXPLAIN,True,30,0.3,1.0,0.4375435812926453
CIFAR10,HDEXPLAIN,True,40,0.4,1.0,0.5296913427430939
CIFAR10,HDEXPLAIN,True,50,0.5,1.0,0.6159766672539753
CIFAR10,HDEXPLAIN,True,60,0.6,1.0,0.698072917482775
CIFAR10,HDEXPLAIN,True,70,0.7,1.0,0.7769697074735189
CIFAR10,HDEXPLAIN,True,80,0.8,1.0,0.8533112834821622
CIFAR10,HDEXPLAIN,True,90,0.89,0.9888888888888888,0.920207033725678
CIFAR10,HDEXPLAIN,True,100,0.97,0.97,0.9781388268601656
